fecha_inicio,fecha_fin,codigo,descripcion,categoria,descuento,precio_normal,precio_oferta,imagen
2025-11-13,2025-12-03,8003540206101,Zucchi Aceite Girasol 1.000 ml,Alimentos,25,4.99,3.74,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/8003540206101.png
2025-11-12,2025-12-03,8719200257139,Bonella Margarina Vital 490 g,Alimentos,35,2.69,1.75,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/8719200257139.png
2025-11-12,2025-12-03,8004092000124,Arbolito Aceite 250 ml,Alimentos,12,6.56,5.79,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/8004092000124.png
2025-11-12,2025-12-03,705424000116,Olé Hot’n Fruity Maracuyá 185 g,Alimentos,25,2.09,1.57,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/705424000116.png
2025-11-12,2025-12-03,38000184932,Pringles Original 124 g,Alimentos,20,3.60,2.88,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/38000184932.png
2025-11-12,2025-12-03,7861018590692,De Todito Picante 186 g,Alimentos,25,2.24,1.68,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861018590692.png
2025-11-12,2025-12-03,7862104123909,Crokitos Copos de Chocolate 180 g,Alimentos,40,1.67,1.00,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7862104123909.png
2025-11-12,2025-12-03,7862104122681,Cereal Aritos de Colores 180 g,Alimentos,50,1.75,0.88,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7862104122681.png
2025-11-12,2025-12-03,7861007801235,El Sabor Canela 60 g,Alimentos,18,2.43,1.99,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861007801235.png
2025-11-27,2025-12-03,7750168000581,Oreo Galleta de Chocolate 432 g,Alimentos,51,4.27,2.09,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7750168000581.png
2025-11-12,2025-12-03,7861015103796,Gustadina Mayonesa Doy Pack 400 g,Alimentos,27,2.92,2.13,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861015103796.png
2025-11-12,2025-12-03,7861015107664,Gustadina Mostaza 200 g,Alimentos,20,1.09,0.87,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861015107664.png
2025-11-12,2025-12-03,8445291182745,La Lechera Leche Condensada 393 g,Alimentos,12,2.27,2.00,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/8445291182745.png
2025-11-12,2025-12-03,7861007800757,El Sabor Esencia de Vainilla 500 ml,Alimentos,22,1.74,1.36,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861007800757.png
